                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.0893,                 1.0343,                 1.2434,                0.51555,                0.30803,                0.32126,                0.15887,                    nan,                    nan,                    nan,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.0744,                  1.044,                 1.2681,                0.55976,                0.28869,                0.31906,                0.14201,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     67,                 1.0509,                 1.0325,                 1.2537,                0.49993,                0.36756,                0.33962,                0.16677,                    nan,                    nan,                    nan,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.1004,                 1.0749,                 1.2877,                0.53202,                0.29422,                0.31423,                0.16546,                    nan,                    nan,                    nan,              0.0086734,              0.0086734,              0.0086734
                     69,                   1.04,                 1.0605,                 1.2433,                0.67245,                0.25744,                0.32963,                0.16959,                    nan,                    nan,                    nan,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.0775,                 1.0442,                 1.2672,                0.47886,                0.32044,                0.32626,                0.15386,                    nan,                    nan,                    nan,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.0515,                 1.0322,                 1.2832,                0.67471,                0.28113,                0.34902,                0.16863,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     72,                0.96251,                0.95442,                 1.2176,                 0.4474,                0.22073,                0.20981,                0.10163,                    nan,                    nan,                    nan,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.0479,                 1.0057,                 1.2674,                0.43611,                 0.3089,                0.32289,                0.16311,                    nan,                    nan,                    nan,              0.0085744,              0.0085744,              0.0085744
                     74,                  1.034,                 1.0018,                  1.234,                0.56886,                0.25146,                0.29973,                0.15619,                    nan,                    nan,                    nan,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.0088,                0.96516,                 1.2281,                0.53084,                0.23611,                0.26605,                0.15344,                    nan,                    nan,                    nan,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.0307,                0.96702,                 1.2189,                0.35119,                 0.2566,                0.21346,                0.12665,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     77,                 1.0524,                0.95375,                  1.251,                0.43886,                0.27199,                0.26881,                0.14436,                    nan,                    nan,                    nan,              0.0084952,              0.0084952,              0.0084952
                     78,                0.99403,                0.87776,                 1.2099,                0.31371,                0.27827,                0.27363,                0.16074,                    nan,                    nan,                    nan,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.0038,                0.89367,                 1.2131,                0.45429,                0.27439,                 0.3093,                0.14832,                    nan,                    nan,                    nan,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.0037,                0.93895,                 1.2232,                0.42229,                0.33677,                 0.3171,                0.15511,                    nan,                    nan,                    nan,              0.0084358,              0.0084358,              0.0084358
                     81,                 0.9806,                0.91454,                 1.1917,                 0.5416,                0.27282,                0.26223,                0.12457,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     82,                0.99299,                0.93087,                 1.2097,                0.33858,                0.33273,                0.26838,                0.13049,                    nan,                    nan,                    nan,              0.0083962,              0.0083962,              0.0083962
                     83,                0.98952,                0.87337,                 1.1969,                0.66386,                0.28396,                0.30831,                0.14106,                    nan,                    nan,                    nan,              0.0083764,              0.0083764,              0.0083764
                     84,                 0.9488,                0.86135,                  1.172,                0.54058,                0.32775,                0.33431,                0.18069,                    nan,                    nan,                    nan,              0.0083566,              0.0083566,              0.0083566
                     85,                0.97223,                0.87314,                 1.1665,                0.55981,                0.25416,                0.29526,                0.15182,                    nan,                    nan,                    nan,              0.0083368,              0.0083368,              0.0083368
                     86,                0.96769,                0.86545,                  1.214,                0.51619,                0.35169,                0.37754,                0.19391,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     87,                0.98035,                0.90515,                 1.1824,                0.73969,                 0.2821,                0.35757,                0.19329,                    nan,                    nan,                    nan,              0.0082972,              0.0082972,              0.0082972
                     88,                0.97081,                0.86807,                 1.1751,                0.73214,                 0.2996,                0.35867,                0.19237,                    nan,                    nan,                    nan,              0.0082774,              0.0082774,              0.0082774
                     89,                0.96123,                0.84342,                 1.1926,                0.46369,                0.30272,                0.29825,                0.16636,                    nan,                    nan,                    nan,              0.0082576,              0.0082576,              0.0082576
                     90,                0.95527,                0.85748,                 1.2134,                0.44076,                0.25198,                0.28153,                0.16935,                    nan,                    nan,                    nan,              0.0082378,              0.0082378,              0.0082378
                     91,                0.94444,                0.83494,                 1.1725,                0.40058,                0.36112,                0.33335,                0.17491,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     92,                 0.9915,                0.83542,                 1.2127,                0.55314,                0.36546,                0.36048,                0.16268,                    nan,                    nan,                    nan,              0.0081982,              0.0081982,              0.0081982
                     93,                0.94046,                0.81628,                 1.1908,                0.60801,                 0.2624,                0.29418,                0.13048,                    nan,                    nan,                    nan,              0.0081784,              0.0081784,              0.0081784
                     94,                0.94753,                0.83105,                 1.1549,                0.36843,                0.30456,                0.30039,                0.16953,                    nan,                    nan,                    nan,              0.0081586,              0.0081586,              0.0081586
                     95,                0.94469,                0.83378,                 1.1933,                0.42861,                0.31989,                0.30828,                0.17029,                    nan,                    nan,                    nan,              0.0081388,              0.0081388,              0.0081388
                     96,                0.95504,                0.80777,                 1.2041,                 0.4786,                0.30251,                0.30535,                0.18101,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     97,                0.88037,                0.77663,                 1.1317,                0.52739,                0.34127,                0.33039,                0.18357,                    nan,                    nan,                    nan,              0.0080992,              0.0080992,              0.0080992
                     98,                0.87141,                0.75516,                 1.1369,                0.56011,                0.27827,                0.31282,                0.17581,                    nan,                    nan,                    nan,              0.0080794,              0.0080794,              0.0080794
                     99,                0.90617,                0.81841,                 1.1297,                0.54119,                0.29565,                0.31211,                0.16886,                    nan,                    nan,                    nan,              0.0080596,              0.0080596,              0.0080596
                    100,                0.89511,                0.78226,                 1.1624,                0.53791,                0.31994,                0.34549,                0.18157,                    nan,                    nan,                    nan,              0.0080398,              0.0080398,              0.0080398
                    101,                0.90611,                0.76761,                 1.1654,                0.61561,                0.30963,                0.37189,                0.22381,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                    102,                0.87453,                0.74771,                 1.1409,                0.44201,                0.31227,                0.32314,                0.19364,                    nan,                    nan,                    nan,              0.0080002,              0.0080002,              0.0080002
                    103,                0.88566,                0.76364,                  1.145,                0.53409,                0.30858,                0.35122,                 0.1844,                    nan,                    nan,                    nan,              0.0079804,              0.0079804,              0.0079804
                    104,                0.90451,                0.77932,                 1.1405,                0.56705,                0.42063,                 0.3875,                 0.2143,                    nan,                    nan,                    nan,              0.0079606,              0.0079606,              0.0079606
                    105,                0.89093,                0.74659,                 1.1405,                0.44525,                0.31498,                0.32785,                0.18006,                    nan,                    nan,                    nan,              0.0079408,              0.0079408,              0.0079408
                    106,                0.85917,                0.72292,                 1.1428,                0.63278,                0.27929,                0.33996,                0.18886,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                    107,                0.90621,                0.78201,                  1.149,                  0.495,                0.33581,                0.32719,                0.16994,                    nan,                    nan,                    nan,              0.0079012,              0.0079012,              0.0079012
                    108,                0.85826,                0.76777,                  1.136,                0.48446,                 0.2653,                0.30327,                0.17496,                    nan,                    nan,                    nan,              0.0078814,              0.0078814,              0.0078814
                    109,                0.86265,                0.73607,                 1.1143,                0.53054,                0.23115,                0.28244,                0.16221,                    nan,                    nan,                    nan,              0.0078616,              0.0078616,              0.0078616
                    110,                0.87371,                0.75505,                 1.1285,                0.49103,                0.26284,                0.34138,                0.20297,                    nan,                    nan,                    nan,              0.0078418,              0.0078418,              0.0078418
                    111,                0.85782,                0.74366,                 1.1253,                 0.4706,                0.35421,                0.33759,                0.19523,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
